path,status,name,description,issues
extensions/apify-agent-skills/skills/apify-actor-development/SKILL.md,ok,apify-actor-development,"Develop, debug, and deploy Apify Actors - serverless cloud programs for web scraping, automation, and data processing. Use when creating new Actors, modifying existing ones, or troubleshooting Actor code.",
extensions/apify-agent-skills/skills/apify-actorization/SKILL.md,ok,apify-actorization,"Convert existing projects into Apify Actors - serverless cloud programs. Actorize JavaScript/TypeScript (SDK with Actor.init/exit), Python (async context manager), or any language (CLI wrapper). Use when migrating code to Apify, wrapping CLI tools as Actors, or adding Actor SDK to existing projects.",
extensions/apify-agent-skills/skills/apify-generate-output-schema/SKILL.md,ok,apify-generate-output-schema,"Generate output schemas (dataset_schema.json, output_schema.json, key_value_store_schema.json) for an Apify Actor by analyzing its source code. Use when creating or updating Actor output schemas.",
extensions/apify-agent-skills/skills/apify-ultimate-scraper/SKILL.md,ok,apify-ultimate-scraper,"Universal AI-powered web scraper for any platform. Scrape data from Instagram, Facebook, TikTok, YouTube, Google Maps, Google Search, Google Trends, Booking.com, and TripAdvisor. Use for lead generation, brand monitoring, competitor analysis, influencer discovery, trend research, content analytics, audience analysis, or any data extraction task.",
extensions/code-review/skills/code-review-commons/SKILL.md,ok,code-review-commons,"Common guidelines, persona and critical constraints for performing high-quality code reviews. Use this skill when performing a /code-review or /pr-code-review command.",
extensions/skill-porter/SKILL.md,ok,skill-porter,"Converts Claude Code skills to Gemini CLI extensions and vice versa. Use when the user wants to make a skill cross-platform compatible, port a skill between platforms, or create a universal extension that works on both Claude Code and Gemini CLI.",
extensions/skill-porter/examples/before-after/api-connector-converted/SKILL.md,ok,api-connector,"Connect to REST APIs, manage authentication, and process responses. Use for API integration tasks.",
extensions/skill-porter/examples/before-after/code-formatter-converted/SKILL.md,ok,code-formatter,"Formats code files using prettier and eslint. Use when the user wants to format code, fix linting issues, or clean up code style.",
extensions/skill-porter/examples/simple-claude-skill/SKILL.md,ok,code-formatter,A simple example skill for demonstration purposes,
extensions/supremepower/core/skills/brainstorming/SKILL.md,ok,brainstorming,"You MUST use this before any creative work - creating features, building components, adding functionality, or modifying behavior. Explores user intent, requirements and design before implementation.",
